geoid,name,total_population,prop_less_than_hs,prop_hs_grad,prop_some_college_associates,prop_bachelors_higher,prop_18_to_24,prop_65_years_older,prop_white,prop_black,prop_hispanic,poverty_rate,unemployment_rate,male_ratio_per_100_females,median_age,median_income,gini,median_housing_costs,prop_foreign_born_citizen,prop_undocumented,land_area,population_density
1001,"Autauga County, Alabama",58761,0.13750780112336175,0.35510713542750155,0.40461826503016435,0.10276679841897234,0.08180595973519851,0.15615799594969454,0.7444903932880652,0.19563996528309593,0.022157553479348547,0.11282993822433246,0.026755852842809364,95.2,39,68315,0.4541,1028,0.02641207603682715,0.012780585762665714,604.49,97.20756340055253
1003,"Baldwin County, Alabama",233420,0.16086342783201976,0.39624750029408307,0.3521938595459358,0.09069521232796142,0.07283865992631308,0.2120598063576386,0.839679547596607,0.08330477251306657,0.036522148916116874,0.10044126467312141,0.03422328794087647,95.6,43.7,71039,0.4648,1095,0.034727101362351125,0.017916202553337333,2027.08,115.15085739092686
1005,"Barbour County, Alabama",24877,0.17747440273037543,0.38566552901023893,0.4007801072647489,0.03607996099463676,0.08244563251195884,0.19801423001165736,0.4545966153475097,0.4690276158700808,0.05157374281464807,0.21224424166901154,0.05753791257805531,109,40.6,39712,0.5098,605,0.031193471881657758,0.018531173372995136,904.59,27.500856741728295
1007,"Bibb County, Alabama",22251,0.1378026070763501,0.5251396648044693,0.30664183736809436,0.03041589075108628,0.07240124039369017,0.167812682576064,0.7582580558177161,0.2068671070963103,0.010336614084760236,0.19311491618354232,0.08706247230837395,114.9,40.3,50669,0.4553,542,0.010965799289919554,0.005482899644959777,625.5,35.57314148681055
1009,"Blount County, Alabama",59077,0.17440374787052812,0.4297274275979557,0.3575383304940375,0.03833049403747871,0.07948947983140647,0.18265991841156456,0.9130626131997224,0.012339827682516038,0.04649863737156592,0.14010528632124178,0.0596394421557882,102.2,40.8,57440,0.4475,714,0.048123635255683264,0.031535115188652096,650.65,90.79689541228004
1011,"Bullock County, Alabama",10328,0.242728184553661,0.4272818455366098,0.29989969909729186,0.03009027081243731,0.09653369481022463,0.16595662277304415,0.2320875290472502,0.6890975987606507,0.06826103795507359,0.2601665375677769,0.037037037037037035,115.8,39.2,36136,0.5058,602,0.03766460108443068,0.02769171185127808,626.11,16.495503984922777
1013,"Butler County, Alabama",18981,0.11276164753544902,0.5577312626603647,0.29304523970290347,0.03646185010128292,0.0780253938148675,0.21184342236973816,0.5150940414098308,0.4458142352879195,0.011116379537432169,0.20741794426004953,0.06809991301106003,88.8,41.6,44429,0.4837,621,0.01696433275380644,0.008324113587271482,777.99,24.397485828866696
1015,"Calhoun County, Alabama",116162,0.11375870804306523,0.36130462317922735,0.45717226092463586,0.06776440785307157,0.1087446841480002,0.17900862588454056,0.7171536302749608,0.22064874916065494,0.028761557135724248,0.17447185826690312,0.06898226864221521,93.7,39.2,54339,0.4519,753,0.023226184122174205,0.012413698111258415,612.35,189.6987017228709
1017,"Chambers County, Alabama",34612,0.112707182320442,0.39189686924493555,0.4662983425414365,0.029097605893186003,0.0784410031203051,0.19733040563966253,0.5674910435687045,0.40777764937016064,0.009678724141916098,0.17566162024731308,0.035625517812758904,90.9,42.2,48805,0.4371,690,0.014676990639084711,0.00988096613891136,603.15,57.38539335157092
1019,"Cherokee County, Alabama",25069,0.10824175824175825,0.4912087912087912,0.3620879120879121,0.038461538461538464,0.07259962503490366,0.23243846982328772,0.9128405600542503,0.04020902309625434,0.014081136064462084,0.1402529019905062,0.03967142723793522,95.7,46.8,46621,0.4484,621,0.019665722605608522,0.013403007698751445,600,41.781666666666666
