geoid,name,total_population,prop_less_than_hs,prop_hs_grad,prop_some_college_associates,prop_bachelors_higher,prop_18_to_24,prop_65_years_older,prop_white,prop_black,prop_hispanic,poverty_rate,unemployment_rate,male_ratio_per_100_females,median_age,median_income,gini,median_housing_costs,prop_foreign_born_citizen,prop_undocumented,land_area,population_density
1001,"Autauga County, Alabama",55380,0.125,0.38019966722129783,0.3872712146422629,0.10752911813643927,0.08681834597327555,0.14956663055254604,0.7679126038280968,0.19028530155290718,0.02825929938605995,0.15059588299024917,0.036127836961556276,94.7,38.2,58731,0.4542,915,0.023456121343445286,0.00991332611050921,604.49,91.61441876623269
1003,"Baldwin County, Alabama",212830,0.1582380675579668,0.36814570819608605,0.38435703674998384,0.08925918749596332,0.07274820279095992,0.1998355494996006,0.8620542216792746,0.09264671333928487,0.045627965982239345,0.10197810459051826,0.04247449620583949,94.7,43,58320,0.4587,951,0.037231593290419585,0.02008175539162712,2027.08,104.99338950608758
1005,"Barbour County, Alabama",25361,0.2511961722488038,0.46411483253588515,0.2602870813397129,0.024401913875598084,0.08240999960569378,0.1857182287764678,0.46800205039233467,0.4757698828910532,0.04357083711210126,0.27108552501872957,0.09166486719930901,112.4,40.4,32525,0.4883,552,0.027167698434604315,0.013958440124600765,904.59,28.03590576946462
1007,"Bibb County, Alabama",22493,0.18004722550177096,0.5182998819362455,0.2845336481700118,0.017119244391971666,0.07531231938825413,0.15933846085448805,0.7678833414840173,0.22291379540301426,0.025741341750766904,0.16627395189614547,0.07284987839929251,117.5,40.9,47542,0.4487,541,0.015115813808740497,0.008891655181612057,625.5,35.96003197442047
1009,"Blount County, Alabama",57681,0.1566318595867585,0.3899133525883137,0.4267940457676072,0.026660742057320594,0.0780326277283681,0.17901908774119726,0.9545951006397254,0.01608848667672197,0.09261281877914739,0.13416896378356824,0.03359013867488444,97.6,40.7,49358,0.457,629,0.045404899360274614,0.02865761689291101,650.65,88.65134865134866
1011,"Bullock County, Alabama",10248,0.1364082433758587,0.5996074582924436,0.21884200196270853,0.045142296368989206,0.09943403590944574,0.1600312256049961,0.2189695550351288,0.748048399687744,0.025565964090554255,0.27566354410616706,0.038726908524371245,119.1,40.2,37785,0.4731,656,0.00702576112412178,0,626.11,16.36773090990401
1013,"Butler County, Alabama",19828,0.2625482625482625,0.36036036036036034,0.33462033462033464,0.04247104247104247,0.07837401654226346,0.19669154730683883,0.5184587452087956,0.45395400443816825,0.013970143231793424,0.2217571111559411,0.06795774647887325,84.5,40.8,40688,0.4619,577,0.007716360702037523,0.0037825297559007463,777.99,25.486188768493168
1015,"Calhoun County, Alabama",114618,0.1261602576245501,0.31994695965144915,0.485413904148513,0.06847887857548778,0.0921146765778499,0.172206808703694,0.7366992967945698,0.20790800746828597,0.037969603378177945,0.17422219895653387,0.07992557998253408,92.7,39.6,47255,0.4633,678,0.026618855677118778,0.01333123942138233,612.35,187.17726790234343
1017,"Chambers County, Alabama",33660,0.09907341411261582,0.43941553813257306,0.43121881682109764,0.03029223093371347,0.0833630421865716,0.19221628045157457,0.5770350564468212,0.39560308972073677,0.023767082590612002,0.16966726084373143,0.039357377895348086,91.6,42,42289,0.423,663,0.018389780154486036,0.01437908496732026,603.15,55.8070131808008
1019,"Cherokee County, Alabama",25903,0.12948430493273544,0.47701793721973096,0.3609865470852018,0.032511210762331835,0.06887233139018646,0.22433694938810175,0.9285410956259893,0.04597923020499556,0.015944099139095856,0.13743581824499093,0.04433591879728047,97.3,46.5,41919,0.4515,542,0.008570435856850557,0.003088445353820021,600,43.17166666666667
1021,"Chilton County, Alabama",44055,0.16034380557202135,0.5334914048606995,0.28986366330764674,0.016301126259632485,0.07658608557484962,0.16007263647713085,0.8361139484734991,0.09172625127681308,0.07847009420043127,0.1884462603563727,0.06408202499198974,95,38.7,47468,0.4719,629,0.04555669050051073,0.031074792872545682,700.8,62.863869863013704
1023,"Choctaw County, Alabama",12925,0.24169184290030213,0.337361530715005,0.3957703927492447,0.025176233635448138,0.07682785299806577,0.22607350096711798,0.5676595744680851,0.425531914893617,0.004100580270793037,0.22963249516441006,0.07901125579342308,90.6,46.3,35892,0.469,440,0.006344294003868472,0.0027852998065764022,920.91,14.035030567590754
1025,"Clarke County, Alabama",24128,0.1564461612747465,0.48430709802028005,0.3355866731047803,0.023660067600193145,0.08583388594164457,0.19392407161803712,0.5297165119363395,0.4577254641909814,0.00327420424403183,0.22728779840848806,0.12164902004956071,89.6,42.5,37404,0.5158,530,0.0023624005305039786,5.802387267904509e-4,1252.6,19.26233434456331
1027,"Clay County, Alabama",13337,0.2590909090909091,0.45181818181818184,0.28363636363636363,0.005454545454545455,0.08247731873734723,0.20229436904851167,0.8316712903951413,0.155582214890905,0.031416360500862266,0.17560170952987927,0.05408180729077529,93.3,43.3,40845,0.4615,451,0.020019494638974282,0.013571267901327136,606.05,22.006435112614472
1029,"Cleburne County, Alabama",14916,0.17300380228136883,0.3403041825095057,0.4439163498098859,0.04277566539923954,0.07052829176722981,0.194355054974524,0.9385894341646555,0.027487262000536337,0.02460445159560204,0.16968356127648163,0.0592969776609724,96.1,43.1,44741,0.457,549,0.016157146688120138,0.01005631536604988,561.06,26.585391936691266
1031,"Coffee County, Alabama",51662,0.19148418491484184,0.36228710462287106,0.37688564476885644,0.06934306569343066,0.0795555727614107,0.16549881924819015,0.7571909720878015,0.16904107467771282,0.07283883705625024,0.14846502264720685,0.05485874079861825,97.3,39.3,55637,0.4327,752,0.03985521272889164,0.021601951143974295,680.52,75.9154764003997
